TermName,DistrictName,District_StateID,SchoolName,School_StateID,StudentID,Student_StateID,Subject,Course,GrowthMeasureYN,NormsReferenceData,WISelectedAYFall,WISelectedAYWinter,WISelectedAYSpring,WIPreviousAYFall,WIPreviousAYWinter,WIPreviousAYSpring,TestType,TestName,TestID,TestStartDate,TestStartTime,TestDurationMinutes,TestRITScore,TestStandardError,TestPercentile,AchievementQuintile,PercentCorrect,RapidGuessingPercentage,FallToFallProjectedGrowth,FallToFallObservedGrowth,FallToFallObservedGrowthSE,FallToFallMetProjectedGrowth,FallToFallConditionalGrowthIndex,FallToFallConditionalGrowthPercentile,FallToFallGrowthQuintile,FallToWinterProjectedGrowth,FallToWinterObservedGrowth,FallToWinterObservedGrowthSE,FallToWinterMetProjectedGrowth,FallToWinterConditionalGrowthIndex,FallToWinterConditionalGrowthPercentile,FallToWinterGrowthQuintile,FallToSpringProjectedGrowth,FallToSpringObservedGrowth,FallToSpringObservedGrowthSE,FallToSpringMetProjectedGrowth,FallToSpringConditionalGrowthIndex,FallToSpringConditionalGrowthPercentile,FallToSpringGrowthQuintile,WinterToWinterProjectedGrowth,WinterToWinterObservedGrowth,WinterToWinterObservedGrowthSE,WinterToWinterMetProjectedGrowth,WinterToWinterConditionalGrowthIndex,WinterToWinterConditionalGrowthPercentile,WinterToWinterGrowthQuintile,WinterToSpringProjectedGrowth,WinterToSpringObservedGrowth,WinterToSpringObservedGrowthSE,WinterToSpringMetProjectedGrowth,WinterToSpringConditionalGrowthIndex,WinterToSpringConditionalGrowthPercentile,WinterToSpringGrowthQuintile,SpringToSpringProjectedGrowth,SpringToSpringObservedGrowth,SpringToSpringObservedGrowthSE,SpringToSpringMetProjectedGrowth,SpringToSpringConditionalGrowthIndex,SpringToSpringConditionalGrowthPercentile,SpringToSpringGrowthQuintile,LexileScore,LexileMin,LexileMax,QuantileScore,QuantileMin,QuantileMax,Goal1Name,Goal1RitScore,Goal1StdErr,Goal1Range,Goal1Adjective,Goal2Name,Goal2RitScore,Goal2StdErr,Goal2Range,Goal2Adjective,Goal3Name,Goal3RitScore,Goal3StdErr,Goal3Range,Goal3Adjective,Goal4Name,Goal4RitScore,Goal4StdErr,Goal4Range,Goal4Adjective,Goal5Name,Goal5RitScore,Goal5StdErr,Goal5Range,Goal5Adjective,Goal6Name,Goal6RitScore,Goal6StdErr,Goal6Range,Goal6Adjective,Goal7Name,Goal7RitScore,Goal7StdErr,Goal7Range,Goal7Adjective,Goal8Name,Goal8RitScore,Goal8StdErr,Goal8Range,Goal8Adjective,TypicalFallToFallGrowth,TypicalFallToWinterGrowth,TypicalFallToSpringGrowth,TypicalWinterToWinterGrowth,TypicalWinterToSpringGrowth,TypicalSpringToSpringGrowth,ProjectedProficiencyStudy1,ProjectedProficiencyLevel1,ProjectedProficiencyStudy2,ProjectedProficiencyLevel2,ProjectedProficiencyStudy3,ProjectedProficiencyLevel3,ProjectedProficiencyStudy4,ProjectedProficiencyLevel4,ProjectedProficiencyStudy5,ProjectedProficiencyLevel5,ProjectedProficiencyStudy6,ProjectedProficiencyLevel6,ProjectedProficiencyStudy7,ProjectedProficiencyLevel7,ProjectedProficiencyStudy8,ProjectedProficiencyLevel8,ProjectedProficiencyStudy9,ProjectedProficiencyLevel9,ProjectedProficiencyStudy10,ProjectedProficiencyLevel10
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2101700031","","Mathematics","Math K-12","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Math 6+ CCSS 2010 V2","953132272","08/14/2024","08:32:49","47","206","3.23","16","Low","51","0.0000","5","3","4.50","No*","-0.38","35","LoAvg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","575Q","525Q","625Q","Operations and Algebraic Thinking","202","6.8","195-209","Low","The Real and Complex Number Systems","204","6.5","198-211","Low","Geometry","212","6.5","206-219","LoAvg","Statistics and Probability","205","6.4","199-211","Low","","","","","","","","","","","","","","","","","","","","","2","4","6","","","","ACT College Readiness","Not On Track","HI-Smarter Balanced Assessment Consortia","Level 1","SAT","Not On Track","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2101700031","","Language Arts","Reading","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Reading 6+ CCSS 2010 V4","953746560","08/13/2024","08:33:29","88","213","3.48","38","LoAvg","43","7.5000","4","0","4.78","No*","-0.64","26","LoAvg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","940L","840L","990L","","","","Literary Text","220","6.1","214-226","Avg","Informational Text","207","6.2","201-213","LoAvg","Vocabulary","213","6.1","207-219","LoAvg","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","4","","","","ACT College Readiness","Not On Track","HI-Smarter Balanced Assessment Consortia","Level 2","SAT","Not On Track","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2101700031","","Science","Science K-12","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Science 6-8: for use with NGSS 2013","954058060","08/12/2024","08:31:33","46","200","3.31","23","LoAvg","48","0.0000","3","-5","4.81","No","-1.34","9","Low","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Life Science","204","5.8","198-210","LoAvg","Physical Science","197","5.7","191-203","Low","Earth and Space Science","199","5.8","193-205","LoAvg","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","5","","","","","","","","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2111402295","","Mathematics","Algebra 2","TRUE","USER","4","","","","","","Survey With Goals","Growth: Algebra 2 CCSS 2010","975452436","09/18/2024","09:09:37","31","235","3.29","39","LoAvg","50","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Equations and Inequalities","244","7.2","237-251","Avg","Numerical and Algebraic Expressions","240","6.9","233-247","Avg","Functions","241","7.6","233-249","Avg","Descriptive Statistics","218","7.9","210-226","Low","","","","","","","","","","","","","","","","","","","","","","5","8","","","","","","","","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2111402295","","Science","Life Sciences","TRUE","USER","4","","","","","","Survey With Goals","Growth: Science 9-12 Life Science: for use with NGSS 2013 1.1","974839704","09/19/2024","09:11:24","22","218","3.28","63","HiAvg","51","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","From Molecules to Organisms: Structures and Processes","219","5.7","213-225","HiAvg","Ecosystems: Interactions, Energy, and Dynamics","219","5.7","213-225","HiAvg","Heredity: Inheritance and Variation of Traits; Biological Evolution: Unity and Diversity","215","5.7","209-221","Avg","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","","","","","","","","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2111402295","","Language Arts","Reading","TRUE","2020","4","","","","","","Survey With Goals","Growth: Reading 6+ CCSS 2010 V4","974839633","09/19/2024","08:33:59","31","223","3.51","53","Avg","58","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1135L","1035L","1185L","","","","Literary Text","222","6.0","216-228","Avg","Informational Text","225","6.2","219-231","Avg","Vocabulary","223","6.2","217-229","Avg","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","","","","ACT College Readiness","Not On Track","","","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2112101214","","Mathematics","Math K-12","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Math 2-5 CCSS 2010 V2","962234206","08/28/2024","10:09:47","46","191","3.27","28","LoAvg","56","0.0000","12","15","4.58","Yes*","0.49","69","HiAvg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","315Q","265Q","365Q","Operations and Algebraic Thinking","195","6.7","188-202","LoAvg","Number and Operations","181","6.7","174-188","Low","Measurement and Data","189","6.5","182-196","LoAvg","Geometry","197","6.5","191-203","Avg","","","","","","","","","","","","","","","","","","","","","10","7","11","","","","","","HI-Smarter Balanced Assessment Consortia","Level 2","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2112101214","","Mathematics","Math K-12","FALSE","2020","4","","","","","","Survey","Screening: Math 2-5 1.1 (with Screen Reader Compatibility)","985136716","11/13/2024","10:40:04","27","186","4.97","18","Low","37","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230Q","180Q","280Q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HI-Smarter Balanced Assessment Consortia","Level 1","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2112101214","","Language Arts","Reading","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Reading 2-5 CCSS 2010 V4","963422254","08/27/2024","10:28:09","64","191","3.69","37","LoAvg","44","0.0000","11","23","4.99","Yes","1.50","93","High","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","515L","415L","565L","","","","Literary Text","194","6.5","188-200","Avg","Informational Text","183","6.5","177-189","LoAvg","Vocabulary","195","6.4","189-201","Avg","","","","","","","","","","","","","","","","","","","","","","","","","","8","6","9","","","","","","HI-Smarter Balanced Assessment Consortia","Level 2","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2112101214","","Language Arts","Reading","FALSE","2020","4","","","","","","Survey","Screening: Reading 2-5 1.1 (with Screen Reader Compatibility)","985136715","11/13/2024","11:13:47","34","199","4.95","55","Avg","63","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","670L","570L","720L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HI-Smarter Balanced Assessment Consortia","Level 3","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2112101214","","Science","Science K-12","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Science 3-5: for use with NGSS 2013","962234225","08/28/2024","11:09:27","31","183","3.36","16","Low","45","0.0000","7","-8","4.70","No","-2.15","2","Low","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Life Science","188","5.8","182-194","LoAvg","Physical Science","181","6.0","175-187","Low","Earth and Space Science","180","5.9","174-186","Low","","","","","","","","","","","","","","","","","","","","","","","","","","7","6","8","","","","","","","","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2291700501","","Mathematics","Math K-12","TRUE","2020","4","","","","","","Survey With Goals","Growth: Math 6+ CCSS 2010 V2","977073608","09/16/2024","09:36:43","27","194","3.12","5","Low","47","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","365Q","315Q","415Q","Operations and Algebraic Thinking","194","6.3","188-200","Low","The Real and Complex Number Systems","195","6.5","189-201","Low","Geometry","198","6.1","192-204","Low","Statistics and Probability","191","6.3","185-197","Low","","","","","","","","","","","","","","","","","","","","","2","4","6","","","","ACT College Readiness","Not On Track","HI-Smarter Balanced Assessment Consortia","Level 1","SAT","Not On Track","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2291700501","","Language Arts","Reading","TRUE","2020","4","","","","","","Survey With Goals","Growth: Reading 6+ CCSS 2010 V4","969226580","09/13/2024","08:08:26","198","201","3.53","16","Low","35","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","710L","610L","760L","","","","Literary Text","189","6.4","183-195","Low","Informational Text","210","6.2","204-216","LoAvg","Vocabulary","204","6.0","198-210","LoAvg","","","","","","","","","","","","","","","","","","","","","","","","","","3","4","6","","","","ACT College Readiness","Not On Track","HI-Smarter Balanced Assessment Consortia","Level 1","SAT","Not On Track","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2291700501","","Science","Science K-12","TRUE","2020","4","","","","","","Survey With Goals","Growth: Science 6-8: for use with NGSS 2013","975452330","09/18/2024","10:17:12","20","189","3.32","6","Low","53","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Life Science","182","6.0","176-188","Low","Physical Science","181","6.3","175-187","Low","Earth and Space Science","202","6.7","195-209","LoAvg","","","","","","","","","","","","","","","","","","","","","","","","","","2","5","6","","","","","","","","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2311600102","","Mathematics","Algebra 1","TRUE","USER","4","","","","","","Survey With Goals","Growth: Algebra 1 CCSS 2010","980367994","09/25/2024","09:31:04","110","232","3.33","58","Avg","44","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Equations and Inequalities","220","7.1","213-227","LoAvg","Numerical and Algebraic Expressions","233","6.7","226-240","Avg","Functions","241","6.7","234-248","HiAvg","Descriptive Statistics","232","6.8","225-239","Avg","","","","","","","","","","","","","","","","","","","","","","4","8","","","","","","","","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2311600102","","Language Arts","Reading","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Reading 6+ CCSS 2010 V4","981267158","09/18/2024","08:47:21","104","245","3.26","92","High","55","0.0000","3","14","4.65","Yes","1.49","93","High","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1555L","1455L","1605L","","","","Literary Text","244","5.7","238-250","High","Informational Text","249","5.7","243-255","High","Vocabulary","241","5.7","235-247","High","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","","","","ACT College Readiness","On Track 24","","","SAT","On Track","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2311600102","","Science","Science K-12","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Science 9-12: for use with NGSS 2013","980043647","10/01/2024","08:45:21","48","223","3.27","80","HiAvg","45","0.0000","3","6","4.67","Yes*","0.48","68","HiAvg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Life Science","233","6.1","227-239","High","Physical Science","206","7.8","198-214","LoAvg","Earth and Space Science","227","5.8","221-233","High","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","","","","","","","","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2312100345","","Mathematics","Math K-12","TRUE","2020","4","","","","","","Survey With Goals","Growth: Math 2-5 CCSS 2010 V2","961192193","08/29/2024","09:00:28","38","207","3.28","91","High","60","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590Q","540Q","640Q","Operations and Algebraic Thinking","218","6.8","211-225","High","Number and Operations","205","6.8","198-212","High","Measurement and Data","201","6.6","194-208","HiAvg","Geometry","200","6.9","193-207","HiAvg","","","","","","","","","","","","","","","","","","","","","11","7","11","","","","","","HI-Smarter Balanced Assessment Consortia","Level 4","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","2312100345","","Language Arts","Reading","TRUE","2020","4","","","","","","Survey With Goals","Growth: Reading 2-5 CCSS 2010 V4","962234183","08/28/2024","09:10:02","68","187","3.34","51","Avg","50","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","440L","340L","490L","","","","Literary Text","186","5.8","180-192","Avg","Informational Text","187","5.6","181-193","Avg","Vocabulary","188","5.9","182-194","Avg","","","","","","","","","","","","","","","","","","","","","","","","","","10","7","10","","","","","","HI-Smarter Balanced Assessment Consortia","Level 2","","","","","","","","","","","","","","","",""
